User Name,Source,Title,Author,Keywords,Published Date,Heading,Subheading,ISBN,Amazon URL
dcancel,https://www.inc.com/david-cancel/5-books-im-recommending-to-my-team-this-year-and-why-you-should-too.html,5 Books I'm Recommending to My Team This Year,David Cancel,,2019-12-17,,,,
,,,,,,,,,https://www.amazon.com/What-You-Do-Who-Are/dp/0062871331
,,,,,,,,9780735218086,
,,,,,,,,,https://www.amazon.com/Thinking-Bets-Making-Smarter-Decisions/dp/0735216355
,,,,,,,,9781250235381,
,,,,,,,,,https://www.amazon.com/Atomic-Habits-Proven-Build-Break/dp/0735211299
